id,male,female
1559486,25,107
2226,8,1
25890,28,6
3352,35,46
1635,161,1066
4847,155,2926
9721,244,2699
117729,20,468
9723,200,1092
9736,32,329
4845,4,81
12654,2,42
4841,162,1778
4844,12,99
29731,2,9
9738,71,628
41008,5,36
9735,134,933
9734,14,149
30163,8,51
19660,13,139
18128,39,329
25003,0,9
12655,20,542
9726,3,88
28179,15,82
8969,9,248
38362,1,25
12653,9,137
12659,15,95
2459,43,449
6460,52,629
1896496,19,211
2460,13,259
1235,216,883
1750,282,231
1411,31,90
34041,1,6
24874,6,84
24875,6,46
12,266,213
13564,83,31
10429,7,0
1558358,1960,1064
1896010,18,15
34830,39,24
1694,22,24
36378,6,73
33835,17,152
13922,16,55
10659,128,42
23055,209,414
22856,8,34
9744,191,1382
17013,13,13
25941,1,25
7228,38,215
18095,0,16
1912651,4,28
1193847,31,5
12044,396,392
32162,3,144
1903765,0,7
142204,0,4
1901733,0,18
47599,0,3
1926496,6,104
1748,113,63
1756,561,879
2141,152,120
1013,15,2
29397,17,39
39662,15,45
1559460,1234,3436
1911577,10,12
1942339,12,10
3433,13,151
2032,69,126
815,3,18
897,313,548
16058,58,101
15459,287,382
1180,189,965
1781,447,354
3145,7,9
33291,279,416
36990,12,8
25759,4,11
30749,8,10
745,2174,8280
26169,10,53
11555,34,33
3388,18,6
1556,311,156
15831,134,213
4225,111,221
990,37,34
1090,248,135
1457,131,40
1889,1243,398
4312,25,148
32341,38,62
37921,4,38
39200,7,7
1930,16,13
1555,262,95
1716,18,88
3851,264,773
943,103,18
1360,25,25
54519,0,21
51941,11,102
52568,1,1
36027,57,61
41159,11,10
1860695,2,12
36797,44,108
25767,39,50
36119,7,22
37960,11,17
1860745,2,5
53220,0,13
40427,7,27
1887253,0,4
1910055,0,3
37224,10,33
30252,5,2
13907,48,91
1887070,3,27
139733,0,1
23956,2,6
5978,141,528
2573,30,37
2258,52,57
1588,133,150
3254,62,23
7156,141,25
3860,874,1203
14177,27,16
16258,6,0
1741,87,238
13337,381,514
41024,36,37
805,451,433
16493,119,73
906,197,484
17241,67,194
24668,26,8
559,1533,1824
8018,222,900
3130,1581,42
3422410,16,8
1911915,0,1
635,36,135
2637,111,375
1631,63,218
5930,43,280
2451,66,57
11432,5,14
933,17,69
87590,1,2
24855,22,115
24845,6,47
14942,1,12
2782,1,14
788,134,512
15594,18,92
16857,14,56
1250,56,755
10341,36,86
54499,3,0
25764,73,161
1926,192,150
1900019,4,29
1900175,3,125
1899971,9,127
1900011,12,140
4646,1465,5993
26424,127,405
2047,96,192
10940,85,116
114836,0,1
4812,13,100
17970,480,1062
24030,10,12
11485,1,18
2734,57,321
1002,147,7
1222,349,220
891,74,765
11510,342,726
125066,0,4
1955119,8,6
116578,13,3
2000,54,169
13622,1,60
17684,62,307
633,211,806
3720,21,46
1936306,28,7
2317,114,21
1952,507,367
1556024,53,429
30373,4,6
1954807,16,11
25006,6,75
31285,7,6
13329,72,93
1812,216,130
1191,91,111
3570,40,79
9782,4,5
2079,100,110
1920100,1,3
2019,2,1
2089,217,145
1887,372,193
6220,5,0
2172,120,107
3025,52,18
1908978,1,1
1568,110,73
1751,40,14
1685,110,359
1042,698,674
4672,10,16
26362,2,2
37317,37,58
53748,14,39
1903110,1,1
55393,6,9
6622,6,26
14733,23,9
13661,5,13
2367,70,79
2212,13,11
56087,3,13
30455,7,29
1201214,1,4
1888045,45,177
4777,1181,3891
1661,74,462
44516,25,29
10409,38,149
5898,59,189
23026,27,133
1755,25,20
1889628,1,0
1555997,1,0
81272,18,141
2382,29,7
