id,male,female
91204,425,663
90939,88,288
10682618,728,1650
13626503,227,792
6430985,29,203
15524023,360,1823
15963644,160,603
90970,174,374
90965,412,979
90853,204,634
13475238,739,2626
8480722,698,1148
8480712,2222,3643
8476100,294,2723
14369113,63,52
5081621,27,34
433018,152,307
7811911,246,1503
91179,203,1422
91423,1072,2033
10752737,100,259
989036,250,682
6368403,160,96
6427100,1026,771
281935,82,42
15701451,149,74
4983619,1137,626
91074,1080,539
10682597,629,1293
8459810,18,13
12324062,123,146
15631338,180,392
7826425,274,386
13239479,51,650
13351779,27,56
819391,358,851
91438,752,1831
91434,948,2190
15727878,1578,2390
91377,1594,2445
91630,166,34
14255967,2071,4485
7812158,289,255
7812152,732,628
7814991,980,5404
14993426,24,236
13276920,98,696
14910878,15,25
14910790,19,28
16010883,55,69
90708,2542,3039
7812145,2411,1868
7811898,203,1776
91701,12,15
926632,132,52
91724,705,408
6119006,197,684
7811899,60,630
91650,637,191
8269836,146,664
989032,71,128
90693,137,345
7330337,1467,3845
12473293,233,525
12473298,71,70
10682676,165,322
13208029,68,16
13208016,123,57
819442,87,107
819440,145,224
819302,60,151
819254,316,674
819252,350,760
16065440,27,89
90524,461,1415
819304,110,293
819269,136,116
819266,359,375
819255,22,57
819345,162,348
819341,802,1781
819359,224,579
237421,28,6
12802914,73,76
14333188,847,458
90565,417,458
90490,1866,526
10613544,2445,695
15695944,447,125
14375087,187,160
91156,62,40
90611,342,377
10682641,89,291
12500946,463,694
15701452,41,12
989393,183,327
90478,934,206
90477,1304,280
7812077,119,712
90586,1337,1514
6527202,135,273
1005463,549,768
15626390,96,453
7812081,142,818
543488,291,884
7814999,326,2171
7811946,115,601
14401832,137,706
14424250,404,1473
7812847,287,865
15626213,112,660
7812106,436,1352
7812157,535,477
7812186,715,718
7812139,1430,2125
7815001,549,4228
15626087,196,781
7815016,452,403
267389,37,11
8476103,60,439
90805,192,244
15719803,108,267
14214061,54,117
12644137,797,1156
13625909,20,34
13625883,74,291
15521857,236,897
233108,287,103
13518990,925,3754
15989012,198,233
7683677,331,431
1006240,69,34
7815015,174,255
13775313,23,97
13775160,62,168
90929,80,250
90923,272,800
11870336,72,122
90680,149,283
15525081,86,361
15521912,25,97
7812058,66,230
10752732,66,162
819228,62,145
12894144,246,551
12894020,453,1427
12894017,836,3108
12943940,71,109
12943702,1491,3734
6943877,238,566
15587213,147,189
90578,407,331
91529,140,131
7811949,309,894
7812079,374,895
15221832,53,18
12576716,147,199
12494798,20,93
15715931,143,77
13022029,155,263
91638,27,16
12943742,154,477
6280628,526,929
91029,231,105
90470,179,48
14245867,421,346
12808926,22,39
14621180,1472,3060
91421,654,1286
90629,651,406
10510546,204,71
15720184,1702,3940
13520618,98,366
989022,47,174
10752747,108,283
10682521,134,562
13525592,64,162
2662954,193,131
91302,123,439
90968,128,219
90860,816,1926
819241,4,28
819239,192,265
90540,51,141
7850950,34,121
7812059,24,257
13482185,154,396
13482094,133,310
6504964,53,96
15962102,207,795
91211,96,101
193483,43,14
13792976,9,13
15642683,93,43
91648,25,15
91643,452,222
13012374,115,323
13012369,176,390
91633,419,856
91689,16,11
91685,124,116
15317159,22,23
4967967,5,4
15157834,9,9
91732,330,382
15096278,4,5
284394,156,28
12333825,661,257
90709,113,251
2134462,213,77
1564517,185,365
13238898,629,7161
16076565,56,522
13239017,313,3985
14994948,181,2728
14989778,293,1598
14989802,81,767
14995044,75,718
13239112,133,1265
13239089,162,1753
6120841,10,67
5085669,17,85
14995020,77,737
14994972,36,312
13559277,46,248
15505450,51,261
12934437,153,860
14225247,156,864
14994924,34,285
90753,447,273
16039955,74,267
7683820,287,577
13626724,41,159
13626649,43,187
15720379,66,78
90533,175,834
989045,58,134
13626237,84,372
8480713,411,988
91107,173,77
15688241,9,1
7812043,43,89
7815004,90,130
7814992,59,307
7812190,148,89
7812161,534,987
7812167,415,505
7812166,602,1011
15521887,137,509
15999143,164,445
14214028,240,300
90536,126,386
819425,37,152
819420,186,418
222039,42,112
90953,214,431
90446,26,9
12327172,90,46
13520476,105,272
13488218,84,157
13488210,316,750
13243353,149,839
14993483,77,607
4852774,297,1336
91427,81,212
91424,104,306
14256185,78,150
14334539,1349,1664
1006243,2030,2582
15000738,29,347
91608,150,127
13277094,38,185
13277089,30,322
15019493,27,158
294661,96,64
995785,169,138
90569,922,1786
91161,150,362
11158645,157,157
6521184,19,14
91777,101,103
91596,20,9
91594,38,43
10616651,221,359
